Date (mm/dd/yy),Time,Pressure (Torr),time_in_mm
01/07/2022,11:28:21,900.0,688.35
01/07/2022,11:28:24,900.0,0.049999999999954525
01/07/2022,11:28:27,900.0,0.10000000000002274
01/07/2022,11:29:16,900.0,0.9166666666666288
01/07/2022,11:29:19,900.0,0.966666666666697
01/07/2022,11:29:22,900.0,1.0166666666666515
01/07/2022,11:29:24,900.0,1.0499999999999545
01/07/2022,11:29:27,900.0,1.1000000000000227
01/07/2022,11:29:30,900.0,1.1499999999999773
01/07/2022,11:29:33,900.0,1.1999999999999318
01/07/2022,11:36:34,900.0,8.216666666666697
01/07/2022,11:36:36,900.0,8.25
01/07/2022,11:36:39,900.0,8.299999999999955
01/07/2022,11:36:42,900.0,8.350000000000023
01/07/2022,11:37:01,900.0,8.666666666666629
01/07/2022,11:37:04,900.0,8.716666666666697
01/07/2022,11:37:07,900.0,8.766666666666652
01/07/2022,11:37:10,900.0,8.816666666666606
01/07/2022,11:39:38,900.0,11.283333333333303
01/07/2022,11:40:43,900.0,12.366666666666674
01/07/2022,11:40:58,900.0,12.616666666666674
01/07/2022,11:41:00,900.0,12.649999999999977
01/07/2022,11:41:03,900.0,12.699999999999932
01/07/2022,11:41:06,900.0,12.75
01/07/2022,11:41:09,900.0,12.799999999999955
01/07/2022,11:41:12,900.0,12.850000000000023
01/07/2022,11:41:14,900.0,12.883333333333326
01/07/2022,11:41:17,900.0,12.93333333333328
01/07/2022,11:41:20,900.0,12.983333333333348
01/07/2022,11:41:23,900.0,13.033333333333303
01/07/2022,11:41:26,900.0,13.083333333333258
01/07/2022,11:41:29,900.0,13.133333333333326
01/07/2022,11:41:32,900.0,13.18333333333328
01/07/2022,11:41:34,900.0,13.216666666666697
01/07/2022,11:41:37,900.0,13.266666666666652
01/07/2022,11:41:40,900.0,13.316666666666606
01/07/2022,11:41:43,900.0,13.366666666666674
01/07/2022,11:41:46,900.0,13.416666666666629
01/07/2022,11:41:49,900.0,13.466666666666697
01/07/2022,11:41:52,900.0,13.516666666666652
01/07/2022,11:41:55,900.0,13.566666666666606
01/07/2022,11:41:57,900.0,13.600000000000023
01/07/2022,11:42:00,900.0,13.649999999999977
01/07/2022,11:42:03,900.0,13.699999999999932
01/07/2022,11:42:06,900.0,13.75
01/07/2022,11:42:09,900.0,13.799999999999955
01/07/2022,11:42:11,900.0,13.833333333333258
01/07/2022,11:42:14,900.0,13.883333333333326
01/07/2022,11:42:17,900.0,13.93333333333328
01/07/2022,11:42:20,900.0,13.983333333333348
01/07/2022,11:42:23,900.0,14.033333333333303
01/07/2022,11:42:25,900.0,14.066666666666606
